timestamp,elapsed_sec,process_rss_mb,gpu_memory_used_mb
2026-07-18T19:02:55+08:00,0.0,3.57,652
2026-07-18T19:03:00+08:00,5.078,144.79,654
2026-07-18T19:03:05+08:00,10.161,147.08,654
2026-07-18T19:03:10+08:00,15.212,147.14,654
2026-07-18T19:03:15+08:00,20.275,147.14,654
2026-07-18T19:03:20+08:00,25.325,147.14,654
2026-07-18T19:03:26+08:00,30.391,147.14,654
2026-07-18T19:03:31+08:00,35.451,147.14,654
2026-07-18T19:03:36+08:00,40.521,147.14,654
2026-07-18T19:03:41+08:00,45.598,147.14,654
2026-07-18T19:03:46+08:00,50.653,147.14,654
2026-07-18T19:03:51+08:00,55.721,147.14,654
2026-07-18T19:03:56+08:00,60.792,147.14,654
2026-07-18T19:04:01+08:00,65.841,147.14,654
2026-07-18T19:04:06+08:00,70.894,147.14,654
2026-07-18T19:04:11+08:00,75.958,147.14,654
2026-07-18T19:04:16+08:00,81.029,147.14,654
2026-07-18T19:04:21+08:00,86.128,147.14,654
2026-07-18T19:04:26+08:00,91.193,147.14,654
2026-07-18T19:04:31+08:00,96.252,147.14,654
2026-07-18T19:04:36+08:00,101.323,147.14,654
2026-07-18T19:04:42+08:00,106.395,147.14,654
2026-07-18T19:04:47+08:00,111.467,147.14,654
2026-07-18T19:04:52+08:00,116.532,147.14,654
2026-07-18T19:04:57+08:00,121.585,147.14,654
2026-07-18T19:05:02+08:00,126.652,147.14,654
2026-07-18T19:05:07+08:00,131.713,147.14,654
2026-07-18T19:05:12+08:00,136.786,147.14,654
2026-07-18T19:05:17+08:00,141.857,147.14,654
2026-07-18T19:05:22+08:00,146.979,147.14,654
2026-07-18T19:05:27+08:00,152.04,147.14,654
2026-07-18T19:05:32+08:00,157.106,147.14,654
2026-07-18T19:05:37+08:00,162.175,147.14,654
2026-07-18T19:05:42+08:00,167.25,147.14,654
2026-07-18T19:05:47+08:00,172.306,147.14,654
